"name","asset","asset_tag","assigned","assigned_to","assignment_group","checked_in","checked_out","company","cost","location"
"FOX1850XL9V - N20-FAN5 - L0117982L - CI000001394041","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N3KUK9-602U2.3 - L0117982L - CI000001394619","Cisco N3KUK9-602U2.3","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S06W00050339E9CDFF - UCS-MR-1X162RU-A - L0117982L - CI000001394573","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"SFP-H10GB-CU1-5M - L0117982L - CI000001394696","Cisco SFP-H10GB-CU1-5M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BD0T - DS-SFP-FC8G-SW - L0117982L - CI000001394272","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"DTM185105EN - UCSB-PSU-2500ACDV - L0117982L - CI000001394128","Cisco UCSB-PSU-2500ACDV","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1849P5WP - N6K-C6001-FAN-F - L0117982L - CI000001394700","Cisco N6K-C6001-FAN-F","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N56-BAS1K9 - L0117982L - CI000001394665","Cisco N56-BAS1K9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCAE - UCS-MR-1X162RU-A - L0117982L - CI000001394066","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89CF0 - UCS-MR-1X162RU-A - L0117982L - CI000001394201","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6D921 - UCS-MR-1X162RU-A - L0117982L - CI000001394180","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"ART18461153 - UCS-PSU-6248UP-AC - L0117982L - CI000001394267","Cisco UCS-PSU-6248UP-AC","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"SFP-H10GB-CU1-5M - L0117982L - CI000001394693","Cisco SFP-H10GB-CU1-5M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1851PCK9 - N6K-C6001-FAN-F - L0117982L - CI000001394678","Cisco N6K-C6001-FAN-F","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCF1 - UCS-MR-1X162RU-A - L0117982L - CI000001394078","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH190279DX - UCSB-B200-M4 - L0117982L - CI000001394222","Cisco UCSB-B200-M4","","","","","","","Deloitte Ltd","177.94","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DBF0 - UCS-MR-1X162RU-A - L0117982L - CI000001394064","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6D774 - UCS-MR-1X162RU-A - L0117982L - CI000001394179","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E180 - UCS-MR-1X162RU-A - L0117982L - CI000001394113","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89FC7 - UCS-MR-1X162RU-A - L0117982L - CI000001394212","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"LIT18460P60 - NXA-PAC-500W - L0117982L - CI000001394726","Cisco NXA-PAC-500W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOC1902R0W4 - N5K-C5672UP - L0117982L - CI000001394677","Cisco N5K-C5672UP","","","","","","","Deloitte Ltd","898.52","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH18527CE9 - UCSB-MLOM-40G-03 - L0117982L - CI000001394126","Cisco UCSB-MLOM-40G-03","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCF2 - UCS-MR-1X162RU-A - L0117982L - CI000001394079","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH18527C80 - UCSB-MLOM-40G-03 - L0117982L - CI000001394124","Cisco UCSB-MLOM-40G-03","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCB8 - UCS-MR-1X162RU-A - L0117982L - CI000001394068","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC174006S2 - SFP-H10GB-CU1M - L0117982L - CI000001394658","Cisco SFP-H10GB-CU1M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH18527CBG - UCSB-MLOM-40G-03 - L0117982L - CI000001394224","Cisco UCSB-MLOM-40G-03","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0165 - UCS-CPU-E52660D - L0117982L - CI000001394148","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S04900050339E92730 - UCS-MR-1X162RU-A - L0117982L - CI000001394198","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"3231J30DA8A - DCNM-SAN-N5K-K9 - L0117982L - CI000001394684","Cisco DCNM-SAN-N5K-K9","","","","","","","Deloitte Ltd","433.37","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"TED1815B274 - SFP-H10GB-CU3M - L0117982L - CI000001394293","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR1837H2S9 - SFP-10G-SR - L0117982L - CI000001394249","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"LIT18460PA0 - NXA-PAC-500W - L0117982L - CI000001394616","Cisco NXA-PAC-500W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH190179S0 - UCS-IOM-2204XP - L0117982L - CI000001394153","Cisco UCS-IOM-2204XP","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N20-FW012 - L0117982L - CI000001394234","Cisco N20-FW012","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XKN6 - N20-FAN5 - L0117982L - CI000001394137","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DFA2 - UCS-MR-1X162RU-A - L0117982L - CI000001394551","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2L440038A1212 - UCS-CPU-E52660D - L0117982L - CI000001394147","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJZH - DS-SFP-FC8G-SW - L0117982L - CI000001394236","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH190179Q9 - UCS-IOM-2204XP - L0117982L - CI000001394053","Cisco UCS-IOM-2204XP","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89FC1 - UCS-MR-1X162RU-A - L0117982L - CI000001394208","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"TED1815B281 - SFP-H10GB-CU3M - L0117982L - CI000001394294","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DAE2 - UCS-MR-1X162RU-A - L0117982L - CI000001394156","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DB1B - UCS-MR-1X162RU-A - L0117982L - CI000001394164","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DB95 - UCS-MR-1X162RU-A - L0117982L - CI000001394063","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DD7B - UCS-MR-1X162RU-A - L0117982L - CI000001394086","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC1852A0DG - SFP-H10GB-CU3M - L0117982L - CI000001394259","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH190278UR - UCSB-B200-M4 - L0117982L - CI000001394120","Cisco UCSB-B200-M4","","","","","","","Deloitte Ltd","177.94","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S04900050339E92618 - UCS-MR-1X162RU-A - L0117982L - CI000001394189","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N56-FNPV-SSK9 - L0117982L - CI000001394691","Cisco N56-FNPV-SSK9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E022 - UCS-MR-1X162RU-A - L0117982L - CI000001394096","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOC1848R0AM - N3K-C3064TQ-32T - L0117982L - CI000001394725","Cisco N3K-C3064TQ-32T","","","","","","","Deloitte Ltd","604.12","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR183901X1 - SFP-10G-SR - L0117982L - CI000001394289","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N5672-SBUN-P1 - L0117982L - CI000001394662","Cisco N5672-SBUN-P1","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"DTM185105ES - UCSB-PSU-2500ACDV - L0117982L - CI000001394228","Cisco UCSB-PSU-2500ACDV","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6D92C - UCS-MR-1X162RU-A - L0117982L - CI000001394181","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0228 - UCS-CPU-E52660D - L0117982L - CI000001394149","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0K3MCKL - A03-D300GA2 - L0117982L - CI000001394562","Cisco A03-D300GA2","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJYR - DS-SFP-FC8G-SW - L0117982L - CI000001394275","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E097 - UCS-MR-1X162RU-A - L0117982L - CI000001394102","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC174006PB - SFP-H10GB-CU1M - L0117982L - CI000001394681","Cisco SFP-H10GB-CU1M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"ART1846214X - NXA-PAC-1100W - L0117982L - CI000001394679","Cisco NXA-PAC-1100W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR183900LY - SFP-10G-SR - L0117982L - CI000001394287","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR1837G7XD - SFP-10G-SR - L0117982L - CI000001394285","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJYP - DS-SFP-FC8G-SW - L0117982L - CI000001394244","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N5672-72P-SSK9 - L0117982L - CI000001394687","Cisco N5672-72P-SSK9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH18527C81 - UCSB-MLOM-40G-03 - L0117982L - CI000001394226","Cisco UCSB-MLOM-40G-03","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E011 - UCS-MR-1X162RU-A - L0117982L - CI000001394094","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S06W00050339E9BFD3 - UCS-MR-1X162RU-A - L0117982L - CI000001394548","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DF4A - UCS-MR-1X162RU-A - L0117982L - CI000001394090","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2L440038A0242 - UCS-CPU-E52660D - L0117982L - CI000001394146","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6E0FD - UCS-MR-1X162RU-A - L0117982L - CI000001394185","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89F22 - UCS-MR-1X162RU-A - L0117982L - CI000001394204","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DBF3 - UCS-MR-1X162RU-A - L0117982L - CI000001394165","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89F1D - UCS-MR-1X162RU-A - L0117982L - CI000001394202","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"POG1834806E - NXA-PAC-1100W - L0117982L - CI000001394655","Cisco NXA-PAC-1100W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E0C4 - UCS-MR-1X162RU-A - L0117982L - CI000001394105","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XKST - N20-FAN5 - L0117982L - CI000001394139","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1843P3X5 - N6K-C6001-FAN-F - L0117982L - CI000001394699","Cisco N6K-C6001-FAN-F","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E0E2 - UCS-MR-1X162RU-A - L0117982L - CI000001394107","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S06W00050339E9C00A - UCS-MR-1X162RU-A - L0117982L - CI000001394549","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E014 - UCS-MR-1X162RU-A - L0117982L - CI000001394553","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC1852A0C1 - SFP-H10GB-CU3M - L0117982L - CI000001394256","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S04900050339E92615 - UCS-MR-1X162RU-A - L0117982L - CI000001394188","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S04900050339E92A81 - UCS-MR-1X162RU-A - L0117982L - CI000001394199","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DC15 - UCS-MR-1X162RU-A - L0117982L - CI000001394166","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCF0 - UCS-MR-1X162RU-A - L0117982L - CI000001394077","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E0E3 - UCS-MR-1X162RU-A - L0117982L - CI000001394108","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH19017A1Q - UCS-IOM-2204XP - L0117982L - CI000001394154","Cisco UCS-IOM-2204XP","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N3064T-32T-LIC - L0117982L - CI000001394618","Cisco N3064T-32T-LIC","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC1852A0CQ - SFP-H10GB-CU3M - L0117982L - CI000001394257","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0243 - UCS-CPU-E52660D - L0117982L - CI000001394049","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"CUIC-SBUN-OFFERS2= - L0117982L - CI000001394756","Cisco CUIC-SBUN-OFFERS2=","","","","","","","Deloitte Ltd","4,804.16","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"LIT184214G3 - UCSC-PSU1-770W - L0117982L - CI000001394558","Cisco UCSC-PSU1-770W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E098 - UCS-MR-1X162RU-A - L0117982L - CI000001394103","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E8A1A7 - UCS-MR-1X162RU-A - L0117982L - CI000001394213","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89FC6 - UCS-MR-1X162RU-A - L0117982L - CI000001394211","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR1839015M - SFP-10G-SR - L0117982L - CI000001394288","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XKSU - N20-FAN5 - L0117982L - CI000001394037","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR1838073T - SFP-10G-SR - L0117982L - CI000001394286","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89F4A - UCS-MR-1X162RU-A - L0117982L - CI000001394206","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E13B - UCS-MR-1X162RU-A - L0117982L - CI000001394111","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"3231J7C4135 - DCNM-SAN-N5K-K9 - L0117982L - CI000001394660","Cisco DCNM-SAN-N5K-K9","","","","","","","Deloitte Ltd","433.37","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FLY184501ZQ - UCSC-PCIE-ITG - L0117982L - CI000001394575","Cisco UCSC-PCIE-ITG","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N56-VMFEX9 - L0117982L - CI000001394690","Cisco N56-VMFEX9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E092 - UCS-MR-1X162RU-A - L0117982L - CI000001394100","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"POG184280A4 - NXA-PAC-1100W - L0117982L - CI000001394656","Cisco NXA-PAC-1100W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XLA0 - N20-FAN5 - L0117982L - CI000001394142","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCAC - UCS-MR-1X162RU-A - L0117982L - CI000001394065","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"DTM185105GB - UCSB-PSU-2500ACDV - L0117982L - CI000001394229","Cisco UCSB-PSU-2500ACDV","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DA0C - UCS-MR-1X162RU-A - L0117982L - CI000001394055","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DFD3 - UCS-MR-1X162RU-A - L0117982L - CI000001394092","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR184119UQ - SFP-10G-SR - L0117982L - CI000001394253","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJZK - DS-SFP-FC8G-SW - L0117982L - CI000001394237","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"SSI1838050R - UCS-FI-6248UP-UPG - L0117982L - CI000001394235","Cisco UCS-FI-6248UP-UPG","","","","","","","Deloitte Ltd","423.03","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E026 - UCS-MR-1X162RU-A - L0117982L - CI000001394097","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC1852A0K6 - SFP-H10GB-CU3M - L0117982L - CI000001394263","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
